item_id,date,rating,start_time,price
116249913140,2024-12-28,5,2024-07-12,650.0
116249913140,2024-12-29,5,2024-07-12,575.0
116249913140,2024-12-30,5,2024-07-12,575.0
116249913140,2025-01-01,5,2024-07-12,575.0
116249913140,2025-01-02,5,2024-07-12,569.0
116249913140,2025-01-09,5,2024-07-12,595.0
116435593488,2025-01-03,8,2025-01-03,7900.0
116435593488,2025-01-04,8,2025-01-03,8400.0
116435593488,2025-01-05,8,2025-01-03,8600.0
116435593488,2025-01-07,8,2025-01-03,9100.0
116435593488,2025-01-09,8,2025-01-03,9300.0
126864804866,2025-01-03,6,2025-01-03,99.0
126864804866,2025-01-04,6,2025-01-03,2025.0
126864804866,2025-01-05,6,2025-01-03,2025.0
126864804866,2025-01-07,6,2025-01-03,3050.0
126864804866,2025-01-09,6,2025-01-03,3100.0
134382202223,2024-12-29,1,2022-12-24,2699.99
134382202223,2025-01-09,1,2022-12-24,2999.99
156615404648,2025-01-03,8,2025-01-03,1525.0
156615404648,2025-01-04,8,2025-01-03,2024.0
156615404648,2025-01-05,8,2025-01-03,2750.0
156615404648,2025-01-07,8,2025-01-03,6700.0
156615404648,2025-01-08,8,2025-01-03,6700.0
156615404648,2025-01-09,8,2025-01-03,6900.0
176770973686,2025-01-04,9,2025-01-04,1575.0
176770973686,2025-01-05,9,2025-01-04,2950.0
176770973686,2025-01-09,9,2025-01-04,3000.0
186879274398,2025-01-08,5,2025-01-07,45.0
186879274398,2025-01-09,5,2025-01-07,46.0
196633143891,2024-12-28,7,2024-09-13,5350.0
196633143891,2025-01-09,7,2024-09-13,5200.0
196918913341,2025-01-03,9,2024-12-30,32999.0
196918913341,2025-01-09,9,2024-12-30,33999.0
204796927141,2025-01-05,9,2024-05-20,16999.99
204796927141,2025-01-09,9,2024-05-20,14449.99
205104643420,2025-01-02,9,2024-11-14,17550.0
205104643420,2025-01-09,9,2024-11-14,19500.0
205209592239,2025-01-07,6,2025-01-06,260.0
205209592239,2025-01-08,6,2025-01-06,345.23
205209592239,2025-01-09,6,2025-01-06,356.0
226397863352,2025-01-03,5,2024-10-13,5500.0
226397863352,2025-01-09,5,2024-10-13,6500.0
226527085387,2025-01-04,8,2025-01-04,405.0
226527085387,2025-01-05,8,2025-01-04,570.0
226527085387,2025-01-07,8,2025-01-04,1059.0
226527085387,2025-01-08,8,2025-01-04,1059.0
226527085387,2025-01-09,8,2025-01-04,1211.0
266786440772,2025-01-02,7,2024-04-26,5949.99
266786440772,2025-01-09,7,2024-04-26,5999.99
267113725330,2025-01-02,6,2025-01-02,20.0
267113725330,2025-01-03,6,2025-01-02,33.69
267113725330,2025-01-04,6,2025-01-02,160.5
267113725330,2025-01-05,6,2025-01-02,405.0
267113725330,2025-01-07,6,2025-01-02,475.0
267113725330,2025-01-08,6,2025-01-02,475.0
267113725330,2025-01-09,6,2025-01-02,810.0
267113726077,2025-01-02,2,2025-01-02,1075.0
267113726077,2025-01-03,2,2025-01-02,2008.0
267113726077,2025-01-04,2,2025-01-02,2008.0
267113726077,2025-01-05,2,2025-01-02,2008.0
267113726077,2025-01-07,2,2025-01-02,2008.0
267113726077,2025-01-08,2,2025-01-02,2008.0
267113726077,2025-01-09,2,2025-01-02,2033.0
267118569972,2025-01-08,7,2025-01-08,900.0
267118569972,2025-01-09,7,2025-01-08,875.0
276521956152,2025-01-05,9,2024-06-23,25000.0
276521956152,2025-01-09,9,2024-06-23,20000.0
276799320133,2025-01-03,7,2025-01-01,99.0
276799320133,2025-01-09,7,2025-01-01,100.0
286205899587,2025-01-04,8,2024-12-09,9999.0
286205899587,2025-01-09,8,2024-12-09,9500.0
